fl	mean.bodyw.	sd.bodyw.	sd.bodyw..mean.bodyw.	max.bodyw.	min.bodyw.	sRate	nsyll	npause	dur..s.	phonationtime..s.	speechrate..nsyll.dur.	articulation.rate..nsyll...phonationtime.	ASD..speakingtime.nsyll.	tmin	tmax	f0mean	fmin	fmax	f0stdev	CoefVarF0	isq	meanIntensity	sdIntensity	i
Speaker7.txt	-1.235956216	-0.832469341	0.231744235	-0.036433984	0.16609621	-0.397848194	0.992357956	-0.795442438	0.316227766	0.884524516	1.023342343	0.416936777	-0.360833867	NA	0.316227766	-0.102086098	-0.672526387	-0.752853099	-0.688397625	-0.605671854	6.25	-0.484597203	-0.86422668	3
Speaker7.txt	0.87522824	1.034810507	0.668879022	-0.459242984	-0.748516691	-1.009879146	-0.019403647	1.07916713	0.316227766	-0.994341128	-0.012182647	0.636377186	-0.612578426	NA	0.316227766	-0.11754068	-0.409187742	-0.564814744	-1.026250524	-0.908027599	2.25	-1.385526291	0.522643066	4
Speaker7.txt	-0.309608892	-0.666232416	-0.817304306	-1.421851603	0.716989314	-1.009879146	-0.546074071	1.687148611	0.316227766	-1.084662608	-0.560401759	0.142636266	-0.193004162	NA	0.316227766	0.054176895	-0.591499112	-0.738859547	-0.559691759	-0.539027651	0.25	-0.784440277	0.729158484	5
Speaker7.txt	0.54363004	0.570606894	0.309521953	-0.425109802	0.777564695	0.214182758	-1.03116525	0.471185648	0.316227766	-1.283191011	-1.047707637	-0.24138445	0.14265525	NA	0.316227766	1.042411534	1.727906652	0.414733898	0.825683883	0.350003878	0.25	0.545581005	1.567513579	6
Speaker7.txt	0.070594178	1.110232582	1.989641564	1.412638844	0.398930653	0.826213711	0.424108288	0.521850772	0.316227766	-0.536473822	0.414209996	0.746097391	-0.696493279	NA	0.316227766	1.301705071	1.150587313	0.550296434	-0.094920576	-0.519781222	2.25	0.781840837	0.600341165	7
Speaker7.txt	0.472146707	0.020336085	-0.574807312	-0.048524115	-0.35155653	1.132229187	0.784461736	-0.23812608	0.316227766	0.326498737	0.779689404	0.581517084	-0.528663573	NA	0.316227766	0.58049126	-0.86159003	-0.144133586	-0.239714676	-0.421799382	6.25	0.889197591	0.118766794	8
Speaker7.txt	1.667951709	0.910802671	-0.524380491	-0.14373315	0.041192806	0.826213711	-0.144141379	0.420520525	0.316227766	-0.397861649	-0.134009116	0.087776164	-0.109089309	NA	0.316227766	0.530693163	-0.112087731	2.107953694	1.644396197	1.252933112	12.25	0.518804607	0.372827927	9
Speaker7.txt	-0.627494151	-1.140172481	-1.319297003	-1.282860767	-0.835012341	1.438497336	-2.098365845	-1.048768056	-2.846049894	1.101832632	-2.083232627	-2.710089051	2.744015688	NA	-2.846049894	-2.080272553	-0.841333212	-0.513213521	1.297605392	2.101988548	20.25	1.566228987	-0.927627843	10
Speaker8.txt	-1.046809476	-0.908328465	-0.851861469	-0.234608183	-0.595713314	-0.97177023	2.099662808	NA	0.316227766	0.316227766	2.100495763	2.100495763	-1.930050442	NA	0.316227766	2.252055037	0.649193176	0.593704944	1.709421097	0.484301905	20.25	0.659787834	1.595891464	1
Speaker8.txt	1.009257758	1.709852508	1.929308849	1.947627364	0.730362241	0.523247699	1.411785757	NA	0.316227766	0.316227766	1.417777747	1.417777747	-1.446530498	NA	0.316227766	1.17371669	1.261639568	0.516424328	0.869136043	0.237531263	12.25	-0.214630545	1.196012335	2
Speaker8.txt	1.781573516	1.726031165	1.511739462	1.556557833	-1.276867063	0.523247699	0.291528845	NA	0.316227766	0.316227766	0.279914387	0.279914387	-0.459343946	NA	0.316227766	0.110734428	-0.540702672	0.749621977	1.016997362	1.724340779	6.25	-0.948912606	0.607724823	3
Speaker8.txt	-0.570649745	-0.835331703	-0.940170955	-0.902870865	0.087894004	0.523247699	-0.461860306	NA	0.316227766	0.316227766	-0.471075431	-0.471075431	0.427109284	NA	0.316227766	-0.486446618	-0.304473349	-2.357872272	-0.140648571	0.329661024	2.25	-1.052365661	-0.22980779	4
