fl	mean.bodyw.	sd.bodyw.	sd.bodyw..mean.bodyw.	max.bodyw.	min.bodyw.	sRate	nsyll	npause	dur..s.	phonationtime..s.	speechrate..nsyll.dur.	articulation.rate..nsyll...phonationtime.	ASD..speakingtime.nsyll.	tmin	tmax	f0mean	fmin	fmax	f0stdev	CoefVarF0	meanIntensity	sdIntensity	i	isq
Speaker5.txt	0.879179088	1.451496407	1.045273621	2.43625734	-0.720212155	1.277978733	-0.271051178	0.463342271	-0.597315403	-0.7145062	0.444878595	0.826862318	-0.676583516	NA	-0.597316315	0.025610781	-0.731931289	-0.210799789	0.423832214	0.309532376	0.974871839	0.036687409	4	2.25
Speaker5.txt	0.475171161	1.05710204	1.159755551	0.516437374	-0.620581449	0.621233253	-0.328324819	0.09996451	-0.597315403	-0.650050036	0.349085609	0.581072452	-0.537955135	NA	-0.597316315	0.090977132	-0.463320916	-0.508971444	0.794190705	0.613442497	0.694368428	-0.228385806	5	0.25
Speaker5.txt	0.551569754	0.786256631	0.465638953	-0.139938186	-0.747651351	1.606351473	-0.548608053	0.634343571	-0.597315403	-0.92936008	-0.058034584	0.807955406	-0.676583516	NA	-0.597316315	0.007217652	-0.342969515	-0.510863929	0.296521482	0.198631954	0.737511296	-0.032525482	6	0.25
Speaker5.txt	1.294220461	1.615100254	0.565536084	0.736888404	-0.66271496	1.277978733	-0.253428519	0.527467759	-0.597315403	-0.851756141	0.468826842	1.167186748	-0.884526088	NA	-0.597316315	0.087298506	-0.644720129	-0.466075098	0.250226671	0.064299571	1.087153346	0.272596024	7	2.25
Speaker5.txt	0.359140806	0.880087169	1.066842411	-0.085971884	-0.850371982	1.934724213	-0.5926647	0.506092596	-0.597315403	-0.969605098	-0.129879324	0.807955406	-0.676583516	NA	-0.597316315	0.290471839	-0.178140423	-0.365563074	1.0787109	0.6664672	1.055266072	0.399093153	8	6.25
Speaker5.txt	0.936187041	1.185340887	0.469596006	1.44657407	-0.63496565	1.277978733	-1.434146657	0.313716134	-0.597315403	-1.144694977	-1.662567109	-0.45880775	0.224500962	NA	-0.597316315	0.300375831	-0.42756434	-0.432641182	1.371911373	0.941062706	0.958124029	0.367807777	9	12.25
Speaker5.txt	0.774487775	1.12862267	0.670406618	2.520770693	-0.698826158	1.606788429	-1.121344463	0.463342271	-0.601776231	-1.306476742	-1.08780919	0.56216554	-0.514850405	NA	-0.601780514	0.486287919	-0.926412176	-0.424860963	1.150082068	0.519069358	0.893358505	0.330291008	10	20.25
Speaker6.txt	-0.846863753	-0.595218268	0.666802654	-0.840216837	-0.429172068	-0.061895964	-1.407712668	-1.182545237	-1.519219964	-0.922786193	-0.129879324	-0.855852918	0.571071915	NA	-1.519220864	0.859809923	1.179737339	1.759277945	-1.092322861	-1.823171091	-0.082753065	-1.392005391	1	20.25
Speaker6.txt	-1.061141108	-0.899235187	0.386274944	-0.818899415	-0.585800222	-1.273572014	-0.945117876	-1.481797511	-1.519219964	-0.708573667	0.899895281	-0.402087012	0.178291501	NA	-1.519220864	0.844246506	1.37072978	1.757806011	-0.892676487	-1.638215737	0.147207359	-1.400647139	2	12.25
Speaker6.txt	-1.137099779	-1.089941528	-0.047431228	-1.105719035	-0.2817152	-1.273572014	-1.090504811	-1.332171374	-1.519219964	-0.76693696	0.564619828	-0.553342314	0.316919883	NA	-1.519220864	0.994504222	1.4849764	1.130131549	-0.944758149	-1.773235367	0.202853789	-1.31249851	3	6.25
Speaker6.txt	-1.200184698	-0.916520006	0.881105954	-0.680020175	-0.362123269	-0.465964189	-1.006797181	-1.0329191	-1.519219964	-0.870034755	0.756205801	-0.194110971	0.01655839	NA	-1.519220864	0.877920081	1.682945733	1.505684845	-1.094251811	-1.835381071	0.127665507	-1.348558174	4	2.25
Speaker6.txt	-1.25556069	-1.135913639	0.228374204	-1.056380257	-0.19108225	-0.465964189	-1.068476487	-1.289421049	-1.519219964	-0.791629123	0.636464568	-0.45880775	0.247605692	NA	-1.519220864	0.964226302	1.85562383	1.17050458	-1.485828758	-2.222321368	0.111810554	-1.384317802	5	0.25
Speaker6.txt	-1.360692924	-1.187813609	0.460557751	-1.017221302	-0.327386083	-0.062160276	-0.997985852	-1.353546536	-1.519219964	-0.759721718	0.780154048	-0.402087012	0.178291501	NA	-1.519220864	0.820759896	2.16086289	1.675798293	-1.539839371	-2.196101466	0.182547889	-1.33210073	6	0.25
Speaker6.txt	-1.450284844	-1.116222285	1.226790208	-0.647950677	-0.565576754	-0.062160276	-0.839381923	-1.353546536	-1.519219964	-0.769983396	1.139377748	-0.080669494	-0.052755801	NA	-1.519220864	0.621265189	2.25330672	1.173658723	-1.876441229	-2.397160555	0.292285806	-1.269438779	7	2.25
Speaker6.txt	-1.350672379	-0.970516047	1.364465619	-0.84919012	-0.40542377	-0.062160276	-0.927495217	-1.289421049	-1.519219964	-0.799165042	0.947791775	-0.194110971	0.01655839	NA	-1.519220864	0.836606284	2.224527037	1.120038291	-1.71826729	-2.361707998	0.26811559	-1.282047218	8	6.25
Speaker6.txt	-1.493460255	-1.054406234	1.763261598	-0.350657244	-0.452226575	-0.062160276	-0.914278223	-0.94741845	-1.519219964	-0.915731289	0.971740021	0.070585808	-0.191384182	NA	-1.519220864	0.858395067	2.241097157	1.198471315	-1.505118263	-2.185049832	0.203687873	-1.371364342	9	12.25
Speaker6.txt	-1.464041051	-1.108585525	1.337240064	-0.757046336	-0.385267104	0.341974027	-0.865815911	-1.310796212	-1.512941761	-0.828667366	1.067533008	-0.023948756	-0.122069991	NA	-1.512976382	0.677859432	2.147781216	1.177653971	-1.861974101	-2.412172636	0.195012037	-0.15205622	10	20.25
Speaker7.txt	-0.134566162	-0.479141961	-0.887540026	1.589927301	0.529265191	-1.450949366	2.579413879	-0.755041988	1.644663969	2.116594522	1.330963721	0.165120372	-0.237593642	NA	1.644663027	1.354160636	1.149213433	1.034245601	-1.508011688	-2.423904991	0.024307681	-0.178757658	1	20.25
Speaker7.txt	0.545058387	0.467815495	-0.140500368	1.420473457	2.809014368	-1.450970137	2.442838274	-0.413039389	1.644663969	1.908795545	1.163325994	0.259654935	-0.330012563	NA	1.644663027	1.688349641	1.675096729	1.550053124	-0.620694469	-1.882986242	0.151586028	0.278299529	2	12.25
Speaker7.txt	0.025890707	-0.142184391	-0.41959806	0.630382166	1.829045589	-0.998158557	2.566196885	-0.477164876	1.644663969	1.993454388	1.330963721	0.297468761	-0.330012563	NA	1.644663027	1.686934785	1.159678773	1.154313312	-1.123186068	-2.26734791	0.133328082	0.103719503	3	6.25
Speaker7.txt	0.771694492	0.633808988	-0.226491441	0.331848531	1.241547561	-1.450970137	2.244583363	0.313716134	1.644663969	1.656582744	0.923843528	0.373096412	-0.399326754	NA	1.644663027	1.681841303	1.227703477	1.199522696	-1.305471888	-2.404904262	0.012703865	0.486484311	4	2.25
Speaker7.txt	0.353135131	-0.073100609	-0.883020835	-0.347822551	2.182909625	-1.450970137	2.077168104	0.570218083	1.644663969	1.640388534	0.708309308	0.202934197	-0.283803103	NA	1.644663027	1.738435546	1.180609451	1.157677731	-1.053743851	-2.237028217	0.093182485	0.543480893	5	0.25
