fl	i	mean.bodyw.	sd.bodyw.	sd.bodyw..mean.bodyw.	max.bodyw.	min.bodyw.	sRate	nsyll	npause	dur..s.	phonationtime..s.	speechrate..nsyll.dur.	articulation.rate..nsyll...phonationtime.	ASD..speakingtime.nsyll.	tmin	tmax	f0mean	fmin	fmax	f0stdev	CoefVarF0	isq	meanIntensity	sdIntensity
Speaker5.txt	3	0.279729552	0.296393598	1.059571991	7.120456721	0.001600355	1.596593933	973	93	300.5	234.91	3.24	4.14	0.241	0	300.5	176.71	64.3	413.5	59.8	0.33840756	6.25	76.58623359	8.308405445
Speaker5.txt	4	0.329130834	0.344244495	1.045919916	7.062997943	0.002754563	1.796168175	1073	103	300.5	239.07	3.57	4.49	0.223	0	300.5	170.31	66.75	431.99	54.61	0.320650578	2.25	76.77856515	8.315354269
Speaker5.txt	5	0.293683492	0.311899183	1.062024906	3.897845461	0.004304445	1.397019691	1060	86	300.5	243.09	3.53	4.36	0.229	0	300.5	172.62	69.83	417.81	58.45	0.338605028	0.25	75.70991012	7.866104972
Speaker5.txt	6	0.300386645	0.289686444	0.964378572	2.815697776	0.002327712	1.995742416	1010	111	300.5	225.67	3.36	4.48	0.223	0	300.5	169.66	71.21	417.72	53.29	0.314098786	0.25	75.87427476	8.198051421
Speaker5.txt	7	0.365546242	0.357662073	0.978431815	4.261296794	0.003649005	1.796168175	1077	106	300.5	230.51	3.58	4.67	0.214	0	300.5	172.49	67.75	419.85	52.81	0.306162676	2.25	77.20633248	8.715175045
Speaker5.txt	8	0.283503079	0.297381732	1.048954152	2.90467048	0.000729762	2.195316658	1000	105	300.5	223.16	3.33	4.48	0.223	0	300.5	179.67	73.1	424.63	61.4	0.34173763	6.25	77.08484913	8.929563912
Speaker5.txt	9	0.334132668	0.322416386	0.964935239	5.431335333	0.004080681	1.796168175	809	96	300.5	212.24	2.69	3.81	0.262	0	300.5	180.02	70.24	421.44	64.44	0.357960227	12.25	76.71475975	8.876541078
Speaker5.txt	10	0.3199453	0.317764777	0.993184701	7.202332701	0.00308725	1.996007984	880	103	300.23	202.15	2.93	4.35	0.23	0	300.229796	186.59	64.52	421.81	62.14	0.333029637	20.25	76.46801764	8.812957203
Speaker6.txt	1	0.177689174	0.176388082	0.992677705	1.661168315	0.007282061	0.981836033	815	26	244.7	226.08	3.33	3.6	0.277	0	244.7	199.79	88.67	525.68	38.89	0.194654387	20.25	72.74925169	5.893988409
Speaker6.txt	2	0.158888645	0.151454861	0.953213871	1.696313741	0.004845512	0.245418848	920	12	244.7	239.44	3.76	3.84	0.26	0	244.7	199.24	90.86	525.61	40.96	0.205581209	12.25	73.62534928	5.87934227
Speaker6.txt	3	0.15222409	0.135814536	0.89220133	1.223442405	0.00957594	0.245418848	887	19	244.7	235.8	3.62	3.76	0.266	0	244.7	204.55	92.17	495.76	40.42	0.197604498	6.25	73.83734968	6.028737633
Speaker6.txt	4	0.146689069	0.150037288	1.022825279	1.925279987	0.00832509	0.736256545	906	33	244.7	229.37	3.7	3.95	0.253	0	244.7	200.43	94.44	513.62	38.87	0.193933044	2.25	73.55089921	5.967623278
